date,investment,cy_invested,reserve_amt,current,today_pnl_amount,today_pnl_percentage,curr_pnl_amount,curr_pnl_percentage,cy_pnl_amount,cy_pnl_percentage,total_profit,total_loss,overall_pnl_amount,overall_pnl_percentage,total_booked_amt,total_booked_percentage,cy_booked_amt,cy_booked_percentage,py_booked_amt,py_booked_percentage,estimate_st,est_st_pnl_amount,est_st_pnl_percentage,estimate_lt,est_lt_pnl_amount,est_lt_pnl_percentage,cagr
23-10-2025,12312407,15010407,54954,14217721.0,56615.0,0.4,-1948819.0,-12.98,-738806.0,-4.92,218135.0,-2166954.0,1959194.0,15.91,3908013,31.74,1210013,8.51,2698000,21.91,22886032.0,8668311.0,60.97,29134476.0,14916755.0,104.92,8.49
24-10-2025,12312407,15010407,54954,14203402.0,-11877.0,-0.08,-1963138.0,-13.08,-753125.0,-5.02,224046.0,-2187185.0,1944875.0,15.8,3908013,31.74,1210013,8.52,2698000,21.91,22884756.0,8681354.0,61.12,29133200.0,14929798.0,105.11,8.41
27-10-2025,12562407,15260407,147500,14515028.0,66560.0,0.46,-1905484.0,-12.49,-692471.0,-4.54,254191.0,-2159674.0,2005529.0,15.96,3911013,31.13,1213013,8.36,2698000,21.48,23190606.0,8675578.0,59.77,29453076.0,14938048.0,102.91,8.63
28-10-2025,12562407,15260407,147500,14485166.0,-29862.0,-0.21,-1935346.0,-12.68,-722333.0,-4.73,245280.0,-2180624.0,1975667.0,15.73,3911013,31.13,1213013,8.37,2698000,21.48,23190605.0,8705439.0,60.1,29453075.0,14967909.0,103.33,8.49
29-10-2025,12562407,15260407,147500,14625225.0,140059.0,0.97,-1795287.0,-11.76,-582274.0,-3.82,288613.0,-2083900.0,2115726.0,16.84,3911013,31.13,1213013,8.29,2698000,21.48,23127547.0,8502322.0,58.13,29453075.0,14827850.0,101.39,9.07
30-10-2025,12562407,15260407,215500,14574323.0,-48907.0,-0.33,-1884233.0,-12.35,-636220.0,-4.17,231315.0,-2115551.0,2061780.0,16.41,3946013,31.41,1248013,8.56,2698000,21.48,23134748.0,8560425.0,58.74,29030237.0,14455914.0,99.19,8.84
31-10-2025,12562407,15260407,213500,14475465.0,-96858.0,-0.66,-1981091.0,-12.98,-716078.0,-4.69,227588.0,-2208678.0,1981922.0,15.78,3963013,31.55,1265013,8.74,2698000,21.48,23132748.0,8657283.0,59.81,29028237.0,14552772.0,100.53,8.41
03-11-2025,12562407,15260407,105500,14540191.0,67135.0,0.46,-1916186.0,-12.56,-651173.0,-4.27,238359.0,-2154543.0,2046827.0,16.29,3963013,31.55,1265013,8.7,2698000,21.48,23160896.0,8620705.0,59.29,29056385.0,14516194.0,99.83,8.64
04-11-2025,12562407,15260407,105500,14451465.0,-84493.0,-0.58,-2004912.0,-13.14,-739899.0,-4.85,211342.0,-2216251.0,1958101.0,15.59,3963013,31.55,1265013,8.75,2698000,21.48,23154753.0,8703288.0,60.22,29050243.0,14598778.0,101.02,8.26
06-11-2025,12562407,15260407,105500,14298164.0,-153301.0,-1.06,-2158213.0,-14.14,-893200.0,-5.85,185604.0,-2343814.0,1804800.0,14.37,3963013,31.55,1265013,8.85,2698000,21.48,23154753.0,8856589.0,61.94,29050243.0,14752079.0,103.17,7.59
